sentence,topic_predicted,label
The right to life means a right to death,euthanasia,against
Too much homework is detrimental.,reducing homework,support
Too much homework is detrimental.,homework,against
"North Korean People?? Army invaded South Korea, an ally of America; this prompted response from American; this prompted response from American forces.",an American response,support
"North Korean People?? Army invaded South Korea, an ally of America; this prompted response from American; this prompted response from American forces.",sending troops to South Korea,against
People have a right to equal chance that is provided by free university education.,free university education,support
People have a right to equal chance that is provided by free university education.,fees and tuition fees being imposed,against
"When a national figure such as an NFL player refuses to stand for the national anthem, it shocks people into paying attention and generates conversation. ",NFL players not standing for the,support
"When a national figure such as an NFL player refuses to stand for the national anthem, it shocks people into paying attention and generates conversation. ",NFL players protesting during the national,against
Raising the minimum wage would increase poverty.,a minimum wage,support
Raising the minimum wage would increase poverty.,increasing the minimum wage,against
Society's future depends on raising the school-leaving age.,raising the school leaving age,support
Society's future depends on raising the school-leaving age.,lowering the school leaving age,against
Corporal punishment is an inappropriate punishment that harms the education of children.,abolishing it,support
Corporal punishment is an inappropriate punishment that harms the education of children.,corporal punishment in schools,against
"Vaccines protect the ""herd.""",mandatory vaccinations,support
"Vaccines protect the ""herd.""",making personal vaccine choices,against
You have little reason to have a mobile phone if you do not have anyone to talk to on it.,a digital detox,support
You have little reason to have a mobile phone if you do not have anyone to talk to on it.,mobile phones,against
Arenas of potential conflict must be regulated,government regulation of the economy,support
Arenas of potential conflict must be regulated,allowing sports gambling,against
Other countries have had second popular votes. ,using a second popular vote,support
Other countries have had second popular votes. ,awarding the US president a second,against
The public have a right to a referendum.,a referendum,support
The public have a right to a referendum.,the EU Referendum,against
There is greater potential for African women,affirmative action,support
There is greater potential for African women,feminism which aims to achieve equality,against
Everyone has a right to freedom of expression,freedom of speech,support
Everyone has a right to freedom of expression,censorship,against
Not everyone is able to make informed decisions,universal healthcare,support
Not everyone is able to make informed decisions,allowing citizens to vote,against
"The American Job Acts came in handy for the people that are unemployed for a long time,",government intervention in the labour market,support
"The American Job Acts came in handy for the people that are unemployed for a long time,",government welfare programmes,against
Investing in transport means investing in the businesses that will get us out of the recession,a government investment in transport,support
Investing in transport means investing in the businesses that will get us out of the recession,high-speed rail,against
Using drones can reduce the chance of pilots getting PTSD in operations. ,using drones in warfare,support
Using drones can reduce the chance of pilots getting PTSD in operations. ,using drones in warfare,against
It teaches ethical values,education for ethical values,support
It teaches ethical values,euthanasia,against
Everyone has the ability to access wikipedia,wikipedia,support
Everyone has the ability to access wikipedia,a paywall,against
"To bar women from combat, is discrimination.",allowing women in combat,support
"To bar women from combat, is discrimination.",women in combat,against
Punishing someone for not sticking to the rule can be seen as violating a women's rights,a human-led rather than,support
Punishing someone for not sticking to the rule can be seen as violating a women's rights,punishing women,against
The ease of obtaining even minimal information about a facebook user is why children should not have a facebook account.,children not having a facebook account,support
The ease of obtaining even minimal information about a facebook user is why children should not have a facebook account.,children having facebook accounts,against
Paying housewives is financially impractical.,paid maternity leave,support
Paying housewives is financially impractical.,paying housewives,against
The government should not interfere  in a child's decision.,parental autonomy,support
The government should not interfere  in a child's decision.,government interventions in the form of,against
Global warming caused by human-produced greenhouse gases is causing the Arctic ice cap to melt at an increasing rate. ,man-made climate change,support
Global warming caused by human-produced greenhouse gases is causing the Arctic ice cap to melt at an increasing rate. ,climate change,against
Freedom of expression is a means to education,open discussion and educational opportunities for,support
Freedom of expression is a means to education,censorship,against
basic aim of festival forgotten,a boycott,support
basic aim of festival forgotten,the festival,against
Women who are housewives should be paid,women being paid less than men,support
Women who are housewives should be paid,women being able to choose to,against
Teachers are able to collaborate with one another using social media.,teachers using social media to collaborate,support
Teachers are able to collaborate with one another using social media.,teachers having personal social media accounts,against
"The bidding process is too long, tying up funds and land",a land auction,support
"The bidding process is too long, tying up funds and land",a bidding process,against
Positive outcomes can be expected from re-engagement.,re-engagement,support
Positive outcomes can be expected from re-engagement.,disengagement. This is not,against
The current laws on prostitution are not helpful to women.,making the laws more favourable to,support
The current laws on prostitution are not helpful to women.,the government regulating the sex trade,against
A long ruling and ruthless dictator was toppled.,a dictatorship,support
A long ruling and ruthless dictator was toppled.,a ruler who is long-,against
Arming the police is a necessary step,having more police officers,support
Arming the police is a necessary step,arming civilians,against
A lack of transparency can endanger the leader,releasing tax returns,support
A lack of transparency can endanger the leader,releasing transcripts of Trump's conversations,against
A world government would help us move forward as a whole.,a world government,support
A world government would help us move forward as a whole.,a world government,against
Gossip is important for moulding society,gossiping,support
Gossip is important for moulding society,anonymity,against
Nature Suggests That Same Sex Marriage is Illogical,same sex marriage being illogical,support
Nature Suggests That Same Sex Marriage is Illogical,same-sex marriage,against
"When you know terrorists are likely to be members of particular national and ethnic groups, it is simply more practical to focus searches on those groups.",profiling,support
"When you know terrorists are likely to be members of particular national and ethnic groups, it is simply more practical to focus searches on those groups.",focusing on certain groups,against
Why would a Government legitimately need to block the sort of material that goes on Wikileaks? ,a government controlling what information gets,support
Why would a Government legitimately need to block the sort of material that goes on Wikileaks? ,Government controlling what people can see,against
Heavy handed approaches do not solve the motivations for poaching,an incentive-based conservation programme,support
Heavy handed approaches do not solve the motivations for poaching,using heavy handed tactics,against
Collective bargaining is helpful with monopolies.,collective bargaining,support
Collective bargaining is helpful with monopolies.,private businesses being able to union,against
Nuclear power is very expensive,developing clean energy sources such as,support
Nuclear power is very expensive,nuclear power,against
Subsidies are the most efficient way for a state to redistribute wealth within its borders.,government subsidies,support
Subsidies are the most efficient way for a state to redistribute wealth within its borders.,welfare,against
Artists are better off when using creative commons licenses.,sharing creative works under a CC,support
Artists are better off when using creative commons licenses.,copyright,against
ID Cards will not protect us from terrorism and crime!,a national ID card,support
ID Cards will not protect us from terrorism and crime!,ID Cards,against
Gains can go backwards,market crash forewarnings,support
Gains can go backwards,investing,against
"To ban this type of music encourages the viewing of women as helpless, victim figures.",censorship,support
"To ban this type of music encourages the viewing of women as helpless, victim figures.",banning this type of music,against
More Education Brings More Opportunities,more education,support
More Education Brings More Opportunities,mandatory education,against
The cost of doing business is raised by intellectual property because of complicated legal arrangements.,intellectual property,support
The cost of doing business is raised by intellectual property because of complicated legal arrangements.,IP,against
"School uniforms make getting ready for school easier, which can improve punctuality.",school uniforms,support
"School uniforms make getting ready for school easier, which can improve punctuality.",school uniforms,against
Eliminates a public health menace ,using DDT,support
Eliminates a public health menace ,legalisation,against
the citizen should not suffer because of government choice ,smaller government,support
the citizen should not suffer because of government choice ,a welfare state,against
The prohibition of loss leaders would promote competition in the market.,loss leaders,support
The prohibition of loss leaders would promote competition in the market.,loss leaders,against
This policy would only serve to discriminate against unemployed people older than 25,allowing people to work until they,support
This policy would only serve to discriminate against unemployed people older than 25,the policy,against
The penalty of death is a crime deterrent.,capital punishment,support
The penalty of death is a crime deterrent.,capital punishment,against
The experience of Israel proves that profiling works ,profiling,support
The experience of Israel proves that profiling works ,profiling Muslims,against
Russian and the US have many areas where they can cooperate.,cooperation,support
Russian and the US have many areas where they can cooperate.,sanctions,against
"When terrorist events are publicized, terrorists gain a platform.",terrorist events being publicized in order,support
"When terrorist events are publicized, terrorists gain a platform.",terrorism being publicized,against
With plastic container being so prevalent banning plastic water bottles will not reduce plastic waste.,banning plastic water bottles,support
With plastic container being so prevalent banning plastic water bottles will not reduce plastic waste.,banning plastic water bottles,against
If gay couples don't get married it means they lose benefits through the legalization of gay marriage.,gay marriage,support
If gay couples don't get married it means they lose benefits through the legalization of gay marriage.,gay marriage on the grounds that,against
Self-determination is how we resolve some intractable issues.,self-determination as a resolution,support
Self-determination is how we resolve some intractable issues.,a world government,against
No real 'right of return' exists in international law,a one-state solution,support
No real 'right of return' exists in international law,giving refugees a right to return,against
Minimum wage has not kept pace with increases in inflation.,a minimum wage,support
Minimum wage has not kept pace with increases in inflation.,a minimum wage,against
Even the left fielders are now accepting capitalist principles over socialism in term of real way of life,capitalism,support
Even the left fielders are now accepting capitalist principles over socialism in term of real way of life,socialism,against
Society gives an unfair advantage to certain groups of people and reducing the wealth gap will help achieve more equality.,reducing the wealth gap in society,support
Society gives an unfair advantage to certain groups of people and reducing the wealth gap will help achieve more equality.,reducing the wealth gap,against
Identity cards improve public safety,identity cards,support
Identity cards improve public safety,having a mandatory identity card,against
Social media sites can have advertising practices that are an invasion to privacy.,regulating social media sites,support
Social media sites can have advertising practices that are an invasion to privacy.,social media sites having advertising practices,against
Eating meat is not cruel or unethical; it is a natural part of the cycle of life. ,animals being bred for their meat,support
Eating meat is not cruel or unethical; it is a natural part of the cycle of life. ,vegetarianism,against
"The ICC is mainly not a democratic institution, thereby allowing for political malfeasance.",its dissolution,support
"The ICC is mainly not a democratic institution, thereby allowing for political malfeasance.",the ICC,against
Textbooks alone can't keep up with modern technology.,teaching kids how to use technology,support
Textbooks alone can't keep up with modern technology.,using textbooks in classrooms,against
Information belongs to all people who have a right to access that information via broadband.,open access to information,support
Information belongs to all people who have a right to access that information via broadband.,ISPs charging for access to information,against
It is government's responsibility to work for the betterment of the people,a welfare state,support
It is government's responsibility to work for the betterment of the people,the welfare state,against
It Forces Illegal Immigrants Underground,building a wall,support
It Forces Illegal Immigrants Underground,giving amnesty to illegal immigrants,against
The decision often has a major long-term impact on a woman's psychological and emotional well-being.,abortion being a woman's choice,support
The decision often has a major long-term impact on a woman's psychological and emotional well-being.,abortion,against
Partial birth abortions are safer than any available alternative,abortion,support
Partial birth abortions are safer than any available alternative,giving pregnant women other options to,against
China is a threat to regional stability,a stronger US Military presence in,support
China is a threat to regional stability,a free trade agreement with China,against
Rewards do not always work in motivating students. ,using financial sanctions to motivate students,support
Rewards do not always work in motivating students. ,using rewards as a method of,against
"The war on terror is not considered an armed conflict, which makes internment without trial is illegal. ",internment without trial,support
"The war on terror is not considered an armed conflict, which makes internment without trial is illegal. ",internment without trial,against
Imposing dictatorship will be a threat to diversity and multi ethnicity. ,a democracy,support
Imposing dictatorship will be a threat to diversity and multi ethnicity. ,imposing a dictatorship,against
any conflict will rapidly de-escalate,Assad remaining in power,support
any conflict will rapidly de-escalate,conflict,against
The internet should operate on the basis of net neutrality,the internet being free from discrimination,support
The internet should operate on the basis of net neutrality,ISPs being allowed to give some,against
There are many people who are endangering their future with social media.,regulating social media platforms,support
There are many people who are endangering their future with social media.,people using social media,against
"The prosecutorial abuse potential is high, due to its lack of checks on its power.",a judicial review,support
"The prosecutorial abuse potential is high, due to its lack of checks on its power.",prosecutorial discretion,against
Internment without trial spits in the face of our democratic values. ,internment without trial,support
Internment without trial spits in the face of our democratic values. ,internment without trial,against
"Because of land titles, violence against women would come to an end.",land titles,support
"Because of land titles, violence against women would come to an end.",land titles,against
Failing states should not be provided a safety net,reducing or ending social welfare programs,support
Failing states should not be provided a safety net,welfare states,against
It brings fear in the person ,it,support
It brings fear in the person ,legalizing marijuana,against
Working in an office is the best place to be. ,working in an office,support
Working in an office is the best place to be. ,working from home,against
NO. It has become a new and fashionable way of attacking capitalism,capitalism,support
NO. It has become a new and fashionable way of attacking capitalism,capitalism,against
Computerized climate models could be misleading when it comes to the predictions of  accelerating human-caused climate change.,human-caused climate change,support
Computerized climate models could be misleading when it comes to the predictions of  accelerating human-caused climate change.,computerized climate models,against
Violent video games have been shown to have positive effect on kindness and cooperative behavior.,violent video games having positive effects,support
Violent video games have been shown to have positive effect on kindness and cooperative behavior.,any kind of regulation on the,against
The US has a long tradition of multiple languages,bilingualism,support
The US has a long tradition of multiple languages,teaching a single language in schools,against
"Home schooling gives children a different perspective, more inclusive of others they live around.",home schooling,support
"Home schooling gives children a different perspective, more inclusive of others they live around.",compulsory schooling,against
There are dangers to children having mobile phones.,a ban on mobile phones for,support
There are dangers to children having mobile phones.,children having mobile phones,against
The tax payers are the ones losing out on money that could be spent properly.,a tax holiday,support
The tax payers are the ones losing out on money that could be spent properly.,taxation,against
Economy growth requires money be spent on the youth and next generation.,government spending on social programmes,support
Economy growth requires money be spent on the youth and next generation.,cutting government spending,against
The economic argument made for expansion is not a compelling one.,contraction,support
The economic argument made for expansion is not a compelling one.,expansion,against
The development of cities will at some point need to use forced evictions.,forced evictions,support
The development of cities will at some point need to use forced evictions.,city development,against
Establishes a Clear Brightline in Favor of Data Freedom,data freedom,support
Establishes a Clear Brightline in Favor of Data Freedom,data harvesting,against
Citizens have to be shielded by their city.,city walls,support
Citizens have to be shielded by their city.,the city providing social welfare programs,against
The Rome Statute of the ICC hinders national operations due to its wide flexibility.,a global court that is more,support
The Rome Statute of the ICC hinders national operations due to its wide flexibility.,the ICC,against
Net neutrality preserves free speech on the internet by prohibiting internet service providers from blocking content,net neutrality,support
Net neutrality preserves free speech on the internet by prohibiting internet service providers from blocking content,any service providers being allowed to,against
It is immoral to use the threat of nuclear annihilation in order to achieve foreign policy aims,nuclear disarmament,support
It is immoral to use the threat of nuclear annihilation in order to achieve foreign policy aims,using nuclear weapons,against
Out of town malls can hinder the development of downtown areas.,in-town malls being developed,support
Out of town malls can hinder the development of downtown areas.,out of town malls,against
"Children should not be exposed to sex, violence, drug use, or other inappropriate topics in school or public libraries.",keeping these topics out of schools,support
"Children should not be exposed to sex, violence, drug use, or other inappropriate topics in school or public libraries.",sex education in schools,against
PMCs do not have the United States's best interests at heart and are not directly accountable.,shutting them down,support
PMCs do not have the United States's best interests at heart and are not directly accountable.,PMCs being used by the,against
A vegetarian diet lowers the risk of heart disease. ,a vegetarian diet,support
A vegetarian diet lowers the risk of heart disease. ,a vegetarian diet,against
A natural immunity is more effective than vaccines for resisting disease.,a natural immunity,support
A natural immunity is more effective than vaccines for resisting disease.,vaccines,against
Retirees will suffer if social security is privatized.,privatization,support
Retirees will suffer if social security is privatized.,social security privatization,against
Dictator?? decisions undermines the people and are unaccountable,democratic governance,support
Dictator?? decisions undermines the people and are unaccountable,a dictatorship,against
A positive of directly electing city mayors is that they would be more accountable than a council.,electing city mayors,support
A positive of directly electing city mayors is that they would be more accountable than a council.,having municipal councils,against
The domestic and global impact of high mining taxes will have huge a negative impact.,a lower mining tax,support
The domestic and global impact of high mining taxes will have huge a negative impact.,high mining taxes,against
I disagree.  Four of his five good fights were his oppenents best fights. ,him being a good fighter,support
I disagree.  Four of his five good fights were his oppenents best fights. ,a dominant fighter,against
Other small nation-states like Norway and the Republic of Ireland are successful,small nations,support
Other small nation-states like Norway and the Republic of Ireland are successful,a single European country,against
Raising the minimum wage would increase economic activity and spur job growth.,a minimum wage,support
Raising the minimum wage would increase economic activity and spur job growth.,a minimum wage increase,against
Israel was just self-defending.,war crimes,support
Israel was just self-defending.,Israel having a right to exist,against
Maintaining a widely-reviled embargo damages the US's diplomatic reputation.,lifting the embargo,support
Maintaining a widely-reviled embargo damages the US's diplomatic reputation.,an embargo,against
To add a fat tax would level out the playing field for food that is healthier. ,a fat tax,support
To add a fat tax would level out the playing field for food that is healthier. ,a fat tax,against
There are possible safety concerns,a study,support
There are possible safety concerns,a public sphere,against
"For developed countries, having the FTAA would be bad for their labor",free trade agreements,support
"For developed countries, having the FTAA would be bad for their labor",the FTAA,against
Social medica can act as an educational tool.,social medica being a teaching,support
Social medica can act as an educational tool.,it not being an educational tool,against
The occurrence of public shooting spree can be prevented by the usage of concealed handguns by adults,arming civilians,support
The occurrence of public shooting spree can be prevented by the usage of concealed handguns by adults,gun control,against
"As an ideal it depends on all being equally well informed, thoughtful and rational. Unattainable.",a meritocracy,support
"As an ideal it depends on all being equally well informed, thoughtful and rational. Unattainable.",democracy,against
"Turkey has different political and religious influences than other member states, which could cause issues.",Turkey becoming a member state,support
"Turkey has different political and religious influences than other member states, which could cause issues.",Turkey joining the EU,against
Denying access to healthcare for smokers will hurt the economy,healthcare for smokers,support
Denying access to healthcare for smokers will hurt the economy,smoking bans,against
There is no time to hold a second referendum,a referendum on the terms of,support
There is no time to hold a second referendum,a second referendum,against
Lower corporate taxes has resulted in higher employment and increased employee benefits,corporate tax cuts,support
Lower corporate taxes has resulted in higher employment and increased employee benefits,raising corporate taxes,against
The Church of England's affiliation with the British state excludes other religions. ,the Church of England having a,support
The Church of England's affiliation with the British state excludes other religions. ,an equal partnership between the state,against
Adequate solution for the root-cause: anti-bribery should be part of companies??CSR missions,anti-bribery laws,support
Adequate solution for the root-cause: anti-bribery should be part of companies??CSR missions,implementing anti-bribery,against
Bottled water is important for travelers to avoid illnesss.,bottled water consumption,support
Bottled water is important for travelers to avoid illnesss.,tap water for travelers,against
Funding broadband internet is a meaningful expenditure for each country.,investing in broadband internet,support
Funding broadband internet is a meaningful expenditure for each country.,reducing or eliminating government funding for,against
Granting Foreign Workers Suffrage would Protect Them from Human Exploitation,giving foreigners the right to vote,support
Granting Foreign Workers Suffrage would Protect Them from Human Exploitation,giving foreign workers the right to,against
Public acknowledgement of the right to nuclear deterrence will benefit the public regulation of nuclear weapons generally,public acknowledgement of the right to,support
Public acknowledgement of the right to nuclear deterrence will benefit the public regulation of nuclear weapons generally,nuclear disarmament,against
Doing so would add more complications to elections,electronic voting,support
Doing so would add more complications to elections,making voting easier,against
Prostitution Should Be Legalised to Protect and educate Sex Workers,prostitution being made legal,support
Prostitution Should Be Legalised to Protect and educate Sex Workers,criminalising prostitutes and sex work,against
A vegetarian diet is better for the planet because it reduces greenhouse gases.,reducing greenhouse gas emissions by eating,support
A vegetarian diet is better for the planet because it reduces greenhouse gases.,meat consumption,against
The netural features of the land are being decimated,buying and restoring land,support
The netural features of the land are being decimated,development,against
"Dramatic changes in precipitation, such as heavier storms and less snow, are another sign that humans are causing global climate change. ",man-made climate change,support
"Dramatic changes in precipitation, such as heavier storms and less snow, are another sign that humans are causing global climate change. ",human-caused climate change,against
Airstrikes would likely be politically ineffective,ground troops,support
Airstrikes would likely be politically ineffective,airstrikes,against
"Everyone saw the extent of damage caused several years ago when the Hollywood, CA police department was completely outgunned.  The police had to break into a gun store to get better fire power.  Many lives could have been saved if they had the proper fire power in the first place.",more gun control,support
"Everyone saw the extent of damage caused several years ago when the Hollywood, CA police department was completely outgunned.  The police had to break into a gun store to get better fire power.  Many lives could have been saved if they had the proper fire power in the first place.",the police having better fire power,against
People's personal medical choices should be their own.,medical marijuana usage,support
People's personal medical choices should be their own.,government intervention on abortion,against
Countries with high video game use see less gun violence,video games to reduce gun violence,support
Countries with high video game use see less gun violence,gun control,against
"People who read print text comprehend more, remember more, and learn more than those who read digital text.",reading print text. Although there,support
"People who read print text comprehend more, remember more, and learn more than those who read digital text.",reading digital text,against
Small and mid sized businesses cannot afford the extra costs involved in complying with such a policy.,reducing the cost of compliance,support
Small and mid sized businesses cannot afford the extra costs involved in complying with such a policy.,a mandatory data encryption policy,against
Civilians are hurt during the Israeli military operations. ,hurting civilians,support
Civilians are hurt during the Israeli military operations. ,civilians being hurt during military operations,against
A single army would enhance the political integration of EU members states,an EU army,support
A single army would enhance the political integration of EU members states,a European Army,against
Personal responsibility would improve in general ,personal responsibility,support
Personal responsibility would improve in general ,welfare,against
The government here may legitimately limit ??ree speech??,government limiting free speech,support
The government here may legitimately limit ??ree speech??,free speech,against
Tablets lead to student health issues.,not using tablets in schools,support
Tablets lead to student health issues.,using tablets in classrooms,against
If sanctions were lifted trade benefits would flow to all parties to trade.,sanctions,support
If sanctions were lifted trade benefits would flow to all parties to trade.,sanctions,against
There are better options for motivating schools to enforce anti bullying rules.,punishing schools that don't enforce,support
There are better options for motivating schools to enforce anti bullying rules.,providing financial incentives for schools to,against
Advertisements are an attempt to brainwash customers.,a government ban on advertising,support
Advertisements are an attempt to brainwash customers.,advertising,against
"Keeping the word ""God"" in the please of allegiance discriminates against those who do not believe in God. ",removing the word from the Pledge,support
"Keeping the word ""God"" in the please of allegiance discriminates against those who do not believe in God. ","keeping the word ""God""",against
It makes it more difficult for extremists to organize and spread their message when blocked,blocking websites which are deemed to,support
It makes it more difficult for extremists to organize and spread their message when blocked,censorship,against
No games influence their players,competitive video games,support
No games influence their players,video games influencing people's behaviour,against
Drones Keep US Military Personnel Safer,using drones to kill terrorists,support
Drones Keep US Military Personnel Safer,banning drones,against
It is more or less free.,freedom,support
It is more or less free.,a price for access to the,against
"Lowering the corporate tax rate raises the deficit, which hurts job creation and wages. ",corporate tax cuts which increase the,support
"Lowering the corporate tax rate raises the deficit, which hurts job creation and wages. ",a corporate tax cut,against
States should act to help civilians in failing states to prevent humanitarian crises,intervention,support
States should act to help civilians in failing states to prevent humanitarian crises,militarism,against
Tackling HIV requires a responsible and active position by everyone,'HIV testing as part,support
Tackling HIV requires a responsible and active position by everyone,pre-exposure proph,against
The economy of the future requires more education,providing more education,support
The economy of the future requires more education,privatizing education,against
"Disarmament would actually cause increased insecurity among nations, as there can never be any guarantee that a nation has disarmed",keeping arms,support
"Disarmament would actually cause increased insecurity among nations, as there can never be any guarantee that a nation has disarmed",disarmament,against
There are other means by which to protect the rights of terrorists without needing to apply the Geneva Conventions,torturing terrorists to get information,support
There are other means by which to protect the rights of terrorists without needing to apply the Geneva Conventions,applying the Geneva Conventions to,against
"By capping the weekly work hours, you also cap the growth the economy can achieve ",a 40 hour work week,support
"By capping the weekly work hours, you also cap the growth the economy can achieve ",fulltime work,against
It should be the United Nations job to prevent such things as mass atrocities and genocide.,the UN intervening in cases of,support
It should be the United Nations job to prevent such things as mass atrocities and genocide.,the UN,against
There are many better ways to redistribute wealth and pay for public goods and services besides raising income tax.,wealth redistribution,support
There are many better ways to redistribute wealth and pay for public goods and services besides raising income tax.,raising income tax,against
Violating the Geneva Conventions with terrorists makes them 'right' about the West.,terrorists being 'right' about,support
Violating the Geneva Conventions with terrorists makes them 'right' about the West.,punishing terrorist groups,against
Everyone can choose their own beliefs. Nobody should be forced to follow a specific religion against their will.,religious freedom,support
Everyone can choose their own beliefs. Nobody should be forced to follow a specific religion against their will.,religious indoctrination in schools,against
Personal identifiers are the reason children should not have facebook accounts.,children not having facebook accounts,support
Personal identifiers are the reason children should not have facebook accounts.,children having facebook accounts,against
Genetically modified food should be legal to use because it is no different from any other scientific advance.,genetically modified food,support
Genetically modified food should be legal to use because it is no different from any other scientific advance.,GMO's,against
"Increasing the minimum wage would have a ripple effect, raising the incomes of people who make slightly above the minimum wage.",an increase in the minimum wage,support
"Increasing the minimum wage would have a ripple effect, raising the incomes of people who make slightly above the minimum wage.",a minimum wage increase,against
"By banning the music, women will continue to be viewed as helpless",censorship,support
"By banning the music, women will continue to be viewed as helpless",banning music,against
"Even taking into account how distracting mobile phones can be, every child should have access to a phone.",children having access to phones,support
"Even taking into account how distracting mobile phones can be, every child should have access to a phone.",restricting access to mobile phones,against
Separation of state and religion,a secular government,support
Separation of state and religion,a state sponsored religion,against
People can not be allowed to drink until they are 21.,a minimum age for drinking,support
People can not be allowed to drink until they are 21.,legalising drinking for people aged,against
Many prominent economists oppose returning to a gold standard. ,returning to a gold standard,support
Many prominent economists oppose returning to a gold standard. ,returning to a gold standard,against
The alternatives to partial birth abortion are not as safe.,partial birth abortion,support
The alternatives to partial birth abortion are not as safe.,partial birth abortion as a means,against
"Scholars will have better access to artefacts, and more opportunities for study and collaboration, if they are stored in the west",western institutions holding artefacts from,support
"Scholars will have better access to artefacts, and more opportunities for study and collaboration, if they are stored in the west",the Chinese government storing a large,against
Shakespeare as national treasure,Shakespeare as a national treasure,support
Shakespeare as national treasure,a national treasure,against
The legalization of marijuana benefits both the black market and organized crime.,legalizing marijuana,support
The legalization of marijuana benefits both the black market and organized crime.,legalizing marijuana,against
Tablets can easily send and receive all information any other student and teacher may have.,tablets in the classroom,support
Tablets can easily send and receive all information any other student and teacher may have.,tablets in the classroom,against
Forced education achieves little,parents being able to choose which,support
Forced education achieves little,compulsory education,against
"To ban music that encourages violence against women would be done with the intention of protecting women; if it is necessary to paint them as the victims of violence that they are, that is a small price to pay. Furthermore, bans on child pornography would",making it illegal to possess any,support
"To ban music that encourages violence against women would be done with the intention of protecting women; if it is necessary to paint them as the victims of violence that they are, that is a small price to pay. Furthermore, bans on child pornography would",child pornography bans because he believes,against
The nation is at risk if everyone can say anything they want.,a 'national security state',support
The nation is at risk if everyone can say anything they want.,freedom of speech,against
Guantanamo Bay Violates Fundamental Human Rights.,Guantanamo Bay remaining open,support
Guantanamo Bay Violates Fundamental Human Rights.,Guantanamo Bay being used as a,against
Smokers are a drain on economic resources,a tax on cigarettes,support
Smokers are a drain on economic resources,smokers being allowed to smoke in,against
Missile defense is an area where Russia is suspicious of the United States.,missile defense systems,support
